,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
122,Totòtruffa '62,Camillo Mastrocinque,"Franco Castellano (screenplay), Franco Castellano (story), Giuseppe Moccia (screenplay), Giuseppe Moccia (story)",Italy,"Totò, Nino Taranto, Estella Blain, Geronimo Meynier","Diana è in un collegio molto costoso ed esclusivo perchè suo padre Antonio, in diplomazia, è sempre in giro per il mondo e non può tenerla con sè. Questo almeno crede lei. In realtà Antonio si arrabatta per raccimolare il denaro per mantenerla. I modi per trovarlo sono i più vari e spesso oltrepassano i limiti della legalità tanto che Antonio viene anche arrestato dal commissario Malvasia, suo ex compagno di scuola. Ma il vero patatrac capita quando Diana si innamora, ricambiata, di Franco, figlio del commissario e Franco, perdipiù, viene truffato da Antonio...",7.3,N/A
123,Bring It On,Peyton Reed,Jessica Bendinger,USA,"Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union","The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen from the Clovers, a hip-hop squad from East Compton, by the Toro's former captain. While the Toros scramble to come up with a new routine, the Clovers, led by squad captain Isis have their own problems - coming up with enough money to cover their travel expenses to the championships. With time running out and the pressure mounting, both captains drive their squads to the point of exhaustion: Torrance, hell bent on saving the Toros' reputation, and Isis more determined than ever to see that the Clovers finally get the recognition that they deserve. But only one team can bring home the title, so may the best moves win.",6.0,"$67,905,760"
124,11.22.63,N/A,N/A,USA,"James Franco, Sarah Gadon, George MacKay, Chris Cooper","A teacher discovers a time portal that leads to October 21st, 1960 and goes on a quest to try and prevent the assassination of John F. Kennedy, which is complicated by the presence of Lee Harvey Oswald and the fact that he's falling in love with the past itself.",8.2,
125,Battlefield Earth,Roger Christian,"Corey Mandell (screenplay), J.D. Shapiro (screenplay), L. Ron Hubbard (novel)",USA,"John Travolta, Barry Pepper, Forest Whitaker, Kim Coates","In the year 3000, humanity is no match for the Psychlos, a greedy, manipulative race on a quest for ultimate profit. Led by the seductive and powerful Terl, the Psychlos are stripping Earth of its resources, using the broken remnants of humanity as slaves. What is left of the human race has reverted to a primitive state, believing the invaders to be demons and technology to be evil. After humanity has all but given up any hope of freeing themselves from alien oppression, a young man named Tyler decides to leave his desolate home high in the Rocky Mountains to discover the truth, whereupon he is captured and enslaved. It is then that he decides to fight back, leading his fellow man in one final struggle for freedom.",2.5,N/A
126,Journal 64,Christoffer Boe,"Jussi Adler-Olsen (novel), Nikolaj Arcel, Bo Hr. Hansen, Mikkel Nørgaard","Denmark, Germany","Nikolaj Lie Kaas, Fares Fares, Johanne Louise Schmidt, Søren Pilmark",A series of mysterious disappearances in 2006 are eerily connected to the same institution.,7.4,N/A
127,Buffalo Soldiers,Gregor Jordan,"Robert O'Connor (book), Gregor Jordan (screenplay), Eric Weiss (screenplay), Nora Maccoby (screenplay)","UK, Germany","Joaquin Phoenix, Ed Harris, Scott Glenn, Anna Paquin","1989. The Berlin Wall is about to fall, and the world is about to be made safe for the new world order. But outside of Stuttgart, West Germany, at Theodore Roosevelt Army Base, Specialist Ray Elwood of the 317th Supply Battalion is about to find his own cold war turn white hot. Elwood's a lovable rogue, a conscript who's managed to turn his military servitude into a blossoming network of black market deals, more out of boredom than ambition. Officially, there's his day job as battalion secretary to the inept but caring Commander Wallace Berman. On the side, there's everything from selling the locals stolen Mop'N'Glo to cooking heroin for the base's ruthless head of Military Police, Sgt. Saad. When a new top sergeant arrives, with the avowed intention of cleaning the base up, Elwood thinks the new blood is nothing he can't handle, especially after he lays eyes on the top's daughter, rebellious Robyn. But that was before he figured in the $5 million in stolen arms that just landed on his lap, Berman's jealous wife, an insane Turkish drug dealer, and, of course, the resulting lust, betrayal, and murder.",6.8,N/A
128,Your Life in 65,Maria Ripoll,"Albert Espinosa (play), Albert Espinosa (screenplay)",Spain,"Javier Pereira, Oriol Vila, Marc Rodríguez, Tamara Arias","Twenty-something mates Francisco, Ignacio, and Dani meet for their Sunday rituals: a paella, a dip in the sea. After spotting an obituary for a schoolmate, they decide to attend the funeral. They realize it wasn`t him. Confusion turns to coincidence as they meet a couple of young women who will disrupt their perfect summer`s day.",6.9,N/A
129,Baby Boy,John Singleton,John Singleton,USA,"Tyrese Gibson, Taraji P. Henson, Omar Gooding, Tamara LaSeon Bass","This is the story of Jody, an unemployed young black man, who's been living with his mother for several years, even though he's got a child of his own. Romantically, he's having relationships with two women: Yvette, the mother of his son, and a new interest.",6.4,"$27,823,989"
130,Buffalo '66,Vincent Gallo,"Vincent Gallo (original story), Vincent Gallo (screenplay), Alison Bagnall (screenplay)","USA, Canada","Vincent Gallo, Christina Ricci, Ben Gazzara, Mickey Rourke","Billy is released after five years in prison. In the next moment, he kidnaps teenage student Layla and visits his parents with her, pretending she is his girlfriend and they will soon marry (and forcing her to say the same).",7.5,"$2,365,931"
131,Blow,Ted Demme,"Bruce Porter (book), David McKenna (screenplay), Nick Cassavetes (screenplay)","USA, Mexico","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths","A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.",7.6,N/A
132,15/67: TV,Kurt Kren,N/A,Austria,N/A,An experimental film shot in five broken sequences from the window in a café.,3.9,N/A
133,Bandits,Barry Levinson,Harley Peyton,USA,"Bruce Willis, Billy Bob Thornton, Cate Blanchett, Troy Garity","Two convicts, one charismatic (Willis) and the other a hypochondriac (Thornton), break out of prison and immediately start a bank robbing spree, kidnapping bank managers, spending the night with their families, then going with the managers in the morning to rob the banks. Using a dim-witted stunt man as their getaway driver and lookout, the three successfully pull off several jobs (even gaining the attention of a television show about American criminals), and become known as ""The Sleepover Bandits."" Things are going great until the bank managers begin to realize that the robbers are non-violent and therefore no threat to them or their employees, changing the game for the Bandits. To add to the complications, a bored & unhappy housewife (Blanchett) ends up in the hands of the criminals, and begins to have romantic feelings for both Willis and Thornton, causing a sticky love triangle.",6.5,"$41,176,738"
134,The Elusive Summer of '68,Goran Paskaljevic,"Gordan Mihic, Goran Paskaljevic (screenplay)",Yugoslavia,"Slavko Stimac, Danilo 'Bata' Stojkovic, Mira Banjac, Mija Aleksic","For the young man who lives in Serbian province town, the maturing coincides with the turbulent political events of the year 1968.",8.6,N/A
135,Behind Enemy Lines,John Moore,"Jim Thomas (story), John Thomas (story), David Veloz (screenplay), Zak Penn (screenplay)",USA,"Owen Wilson, Gene Hackman, Gabriel Macht, Charles Malik Whitfield","Fighter navigator Chris Burnett wants out: he was looking for something more than the boring recon missions he's been flying. He finds himself flying the lone Christmas day mission over war-torn Bosnia. But when he talks pilot Stackhouse into flying slightly off-course to check out an interesting target, the two get shot down. Burnett is soon alone, trying to outrun a pursuing army, while commanding officer Reigert finds his rescue operation hamstrung by politics, forcing Burnett to run far out of his way.",6.4,"$58,767,833"
136,Selfie 69,Cristina Jacob,"Cristina Jacob, Tudor Potra, Maria Spirache, Maria Spirache",Romania,"Silvia Busuioc, Bogdan Alexandru, Raluca Aprodu, Lidia Buble","Your best friends are also the friends who'll make you do the stupidest things. After parting hardcore, Roxi, Yasmine and Ana meet in a bet that will change their lives: Who gets married first in three days?",6.4,N/A
137,Black Hawk Down,Ridley Scott,"Mark Bowden (book), Ken Nolan (screenplay)","USA, UK","Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana","Action/war drama based on the best-selling book detailing a near-disastrous mission in Somalia on October 3, 1993. On this date nearly 100 U.S. Army Rangers, commanded by Capt. Mike Steele, were dropped by helicopter deep into the capital city of Mogadishu to capture two top lieutenants of a Somali warlord. This led to a large and drawn-out firefight between the Army Ranges, US Special Forces, and hundreds of Somali gunmen; resulting in the destruction of two U.S. Black Hawk helicopters. The film focuses on the heroic efforts of various Rangers to get to the downed black hawks, centering on SSG Eversmann, leading the Ranger unit Chalk Four to the first black hawk crash site, Chief Warrant Officer Durant who was captured after being the only survivor of the second black hawk crash, as well as many others who were involved.",7.7,"$108,585,355"
138,Zum 70. Geburtstag Heinz Rühmann. Porträt eines Schauspielers,Heribert Wenk,Friedrich Luft,N/A,"Heinz Rühmann, Friedrich Luft, Helmut Käutner, Hans Schweikart",N/A,6.8,N/A
139,Bones,N/A,Hart Hanson,USA,"Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne","Brilliant, but socially inept, forensic anthropologist Dr. Temperence Brennan works at the Jeffersonian Institute in Washington DC. After consulting for him on a FBI case, she is approached by cocky yet charming Former Army Ranger turned Special Agent, Seeley Booth to help the Bureau solve crimes by identifying human remains that are too far gone for standard FBI forensic investigations. Brennan's empirical, literal view of the world causes friction with Booths emotive, instinctive attitude creating a volatile relationship. However as their case load increases the symbiotic partnership produces results and with the support of Brennan's Squint Squad, murderers, past and present should be on the look out.",7.8,
140,'71,Yann Demange,Gregory Burke,UK,"Jack O'Connell, Jack Lowden, Paul Popplewell, Adam Nagaitis","A young British soldier is accidentally abandoned by his unit following a terrifying riot on the streets of Belfast in 1971. Unable to tell friend from foe, the raw recruit must survive the night alone and find his way to safety through a disorienting, alien and deadly landscape.",7.2,"$1,286,219"
141,Bubble Boy,Blair Hayes,"Cinco Paul, Ken Daurio",USA,"Jake Gyllenhaal, Swoosie Kurtz, Marley Shelton, Danny Trejo","A young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom finds out that the woman he has loved since childhood is about to be married at Niagara Falls, so he builds a portable bubble suit and ventures into the outside world to win her affections.",5.6,N/A
142,72. Kogus,Murat Saraçoglu,Yildiz Tunç,Turkey,"Çiçek Acar, Begüm Akkaya, Senay Aksu, Osman Albayrak",A love story of a prisoner in Turkey in the 1940s.,5.9,N/A
143,Black Knight,Gil Junger,"Darryl Quarles, Peter Gaulke, Gerry Swallow",USA,"Martin Lawrence, Marsha Thomason, Tom Wilkinson, Vincent Regan","This is the story an amusement park employee named Jamal Walker who is magically transported back to medieval times in 14th-century England. There, Jamal meets Sir Knolte, a dissolute knight, before he stumbles into the court of the usurper King Leo. Jamal is impressed by what he thinks is the realism of the theme park; only after witnessing a gory beheading does he realize, with horror, where he really is. Jamal encounters the beautiful Victoria who is scheming to return the queen to the throne, and falls afoul of the evil Sir Percival. Joining forces with Sir Knolte and Victoria, Jamal teaches the rebels some helpful football, golfing, and boxing moves, before he dons the armor of the awesome ""Black Knight""!",4.9,"$33,327,325"
144,Winchester '73,Anthony Mann,"Robert L. Richards (screenplay), Borden Chase (screenplay), Stuart N. Lake (story)",USA,"James Stewart, Shelley Winters, Dan Duryea, Stephen McNally","In a marksmanship contest, Lin McAdam wins a prized Winchester rifle, which is immediately stolen by the runner-up, Dutch Henry Brown. This ""story of a rifle"" then follows McAdams' pursuit, and the rifle as it changes hands, until a final showdown and shoot-out on a rocky mountain precipice.",7.6,N/A
145,Barbershop,Tim Story,"Mark Brown (story), Mark Brown (screenplay), Don D. Scott (screenplay), Marshall Todd (screenplay)",USA,"Ice Cube, Anthony Anderson, Cedric the Entertainer, Sean Patrick Thomas","A day in the life of a barbershop on the south side of Chicago. Calvin, who inherited the struggling business from his deceased father, views the shop as nothing but a burden and waste of his time. After selling the shop to a local loan shark, Calvin slowly begins to see his father's vision and legacy and struggles with the notion that he just sold it out. The barbershop is filled with characters who share their stories, jokes, trials and tribulations. In the shop we find Eddie, an old barber with strong opinions and no customers. Jimmy is a highly educated barber with a superiority complex who can't stand Isaac, the new, white barber who just wants a shot at cutting some hair. Ricky is an ex-con with two strikes against him and is desperately trying to stay straight. Terri is a hard-edged woman who can't seem to leave her two-timing boyfriend. And lastly there's Dinka, a fellow barber who is madly in love with Terri but doesn't get the time of day.",6.3,"$75,074,950"
146,Attila 74: The Rape of Cyprus,Michael Cacoyannis,N/A,Cyprus,"Michael Cacoyannis, Rauf Denktas, Glafkos Klerides, Archbishop Makarios",An indictment of the protagonists in the Cypriot civil war.,7.0,N/A
147,Blue Crush,John Stockwell,"Susan Orlean (magazine article ""Surf Girls of Maui""), Lizzy Weiss (story), Lizzy Weiss (screenplay), John Stockwell (screenplay)","USA, Germany","Kate Bosworth, Matthew Davis, Michelle Rodriguez, Sanoe Lake","Nothing gets between Anne Marie and her board. Living in a beach shack with three roommates including her rebellious younger sister, she is up before dawn every morning to conquer the waves and count the days until the Pipe Masters surf competition. Having transplanted herself to Hawaii with no one's blessing but her own, Anne Marie finds all she needs in the adrenaline-charged surf scene ... until pro quarterback Matt Tollman comes along. Like it or not, Anne Marie starts losing her balance - and finding it - as she falls for Matt.",5.6,"$1,080,072"
148,Galadiner zum 75. Geburtstag von Salvador Dali,Wolfgang F. Henschel,"Hajo Schedlich, Hans Kasper",N/A,"Lukas Ammann, Horst Frank, Christine Wodetzky",N/A,N/A,N/A
149,Bad Boys II,Michael Bay,"George Gallo (characters), Marianne Wibberley (story), Cormac Wibberley (story), Ron Shelton (story), Ron Shelton (screenplay), Jerry Stahl (screenplay)",USA,"Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union","Narcotics cops Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence) head up a task force investigating the flow of ecstasy into Miami. Their search leads to a dangerous kingpin Johnny Tapia (Jordi Mollà), whose plan to control the city's drug traffic has touched off an underground war. Meanwhile, things get sexy between Mike and Syd (Gabrielle Union), Marcus's sister.",6.6,"$138,396,624"
150,Space Station 76,Jack Plotnick,"Jennifer Elise Cox (screenplay written by), Sam Pancake (screenplay written by), Jack Plotnick (screenplay written by), Kali Rocha (screenplay written by), Michael Stoyanov (screenplay written by)",USA,"Patrick Wilson, Liv Tyler, Marisa Coughlan, Matt Bomer","Space Station 76 is a refueling satellite near an alternate-reality Earth, circa 1976. Jessica arrives to serve as the station's new first mate. While she narrates a piece about how she likes the predictability of asteroids, some placidly drifting asteroids are shown colliding in chain-reaction fashion. While at first the station appears normal and the people friendly, Jessica soon discovers that the people on board have issues due to the isolation and stress of being cooped up with one another in a relatively small space far from Earth. This is in addition the usual problems people struggle with, such as infidelity, loneliness, depression, and drug abuse. She tries to make friends and fit in, but, unable to connect meaningfully with anyone, she becomes lonely. She's baffled and disillusioned by the stiff and irritable Captain Glenn, who harbors secrets of his own. She finds herself drawn to Ted, a lonely, married crewman, and his 7 year-old daughter, Sunshine. Ted yearns to reconnect with his unhappy, medicated wife, Misty, but she's too far gone to respond and is driving him away. His daughter Sunshine contends with her unhappy, mentally ill mother and her own isolation issues. Events finally come to a head at a Christmas party when a rapidly unhinging Misty decides everyone needs to play the ""Truth Game."" Just when it seems like everything's falling apart, a celestial event shakes everyone to their core, reminding them what their real priorities in life should be.",4.9,N/A
151,Bad Santa,Terry Zwigoff,"Glenn Ficarra, John Requa","Germany, USA","Billy Bob Thornton, Tony Cox, Brett Kelly, Lauren Graham","Willie T. Stokes is a convicted con man who's led a miserable life. He drinks heavily and constantly embarrasses himself publicly. He only works once a year dressed as Santa. But then come Christmas Eve, he and his pint-sized helper dwarf Marcus stage elaborate robberies and take their department stores for everything they got. This year, they hit a mall in suburban Phoenix, Arizona. This time around, Willie gets distracted by having sex with large women, a bartender who is attracted to Santas, and a kid who's convinced he's the real deal. However, this time around Marcus must once again put up with Willie's heavy drinking and a series of incidents that constantly shoot themselves in the foot. Not to mention a nosy department store security guard who's onto them and wants his cut of the loot. Will Willie and Marcus make it to next Christmas? Or will this be the year the dynamic duo finally face justice?",7.0,N/A
152,Airport '77,Jerry Jameson,"Arthur Hailey (novel), Michael Scheff (screenplay), David Spector (screenplay), H.A.L. Craig (story), Charles Kuenstle (story)",USA,"Jack Lemmon, Lee Grant, Brenda Vaccaro, Joseph Cotten",Mr. Phillip Stevens is flying in a load of VIPs to the grand opening of his art collection when a trio of hijackers knock out the passengers with gas and try to steal the priceless cargo of art treasures. But everything goes wrong for the hijackers when the 747 crashes in the Bermuda triangle. While the passengers remain alive in the shallow water a daring rescue operation is planned to bring the plane up without breaking it in two.,5.7,N/A
153,Basic,John McTiernan,James Vanderbilt,"Germany, USA","John Travolta, Connie Nielsen, Samuel L. Jackson, Tim Daly","Tom Hardy, an ex-Army Ranger turned DEA agent, is drawn into an ever-widening mystery surrounding the disappearance of the feared and often hated Sgt. Nathan West, as well as several of his elite Special Forces trainees on what appears, at first, to have been a routine training exercise during a hurricane in the jungles of Panama. Only two survivors are found, Dunbar, and a badly wounded Kendall, the son of a high-profile Joint Chiefs of Staff official. Neither is willing to cooperate with Capt. Julia Osborne's investigation. So base commander Col. Bill Styles calls in ex-Ranger Hardy, an old friend and a persuasive interrogator. Osborne disapproves of Hardy who is on leave from the D.E.A. after having come under suspicion of accepting bribes from local drug traffickers. She is also uneasy when she learns that Hardy once trained under West and hates him almost as passionately as his current recruits. With time running out, Hardy and Osborne call a temporary, if uneasy, truce. Hardy cajoles a confession out of Dunbar, who claims that Sgt. West and the missing Rangers have been murdered and their bodies blown away by the hurricane. When they later interview Kendall, he confirms that the other Rangers and West are dead. But, in almost every other way, his story contradicts Dunbar's. What happened to West and his Ranger team? And what were they really doing out there in the jungle? As each layer reveals more lies and greater deceptions, Hardy and Osborne inch towards the horrible truth about the fate of the missing Rangers.",6.5,"$26,536,120"
154,Mundial 78. Verdad o mentira,Christian Rémoli,N/A,N/A,"Carlos Ares, Héctor Baley, Daniel Bertoni, Diego Bonadeo",N/A,N/A,N/A
155,Big Fish,Tim Burton,"Daniel Wallace (novel), John August (screenplay)",USA,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange","United Press International journalist Will Bloom and his French freelance photojournalist wife Josephine Bloom, who is pregnant with their first child, leave their Paris base to return to Will's hometown of Ashton, Alabama on the news that his father, Edward Bloom, stricken with cancer, will soon die, he being taken off chemotherapy treatment. Although connected indirectly through Will's mother/Edward's wife, Sandra Bloom, Will has been estranged from his father for three years since his and Josephine's wedding. Will's issue with his father is the fanciful tales Edward has told of his life all his life, not only to Will but the whole world. As a child when Edward was largely absent as a traveling salesman, Will believed those stories, but now realizes that he does not know his father, who, as he continues to tell these stories, he will never get to know unless Edward comes clean with the truth before he dies. On the brink of his own family life beginning, Will does not want to be the kind of father Edward has been to him. One of those stories from Edward's childhood - that he saw his own death in the glass eye of a witch - led to him embracing life since he would not have to fear death knowing when and how it would eventually come. The question is whether Will will be able to reconcile Edward's stories against his real life, either directly from Edward before he dies and/or from other sources, and thus allow Will to come to a new understanding of himself and his life, past, present and future.",8.0,"$66,257,002"
156,The Concorde... Airport '79,David Lowell Rich,"Arthur Hailey (novel), Jennings Lang (story), Eric Roth (screenplay)",USA,"Alain Delon, Susan Blakely, Robert Wagner, Sylvia Kristel","American based Federation World Airlines has just acquired a Concorde jet, which will make its inaugural commercial flight from Washington D.C. to Paris and then to Moscow as a goodwill gesture prior to the 1980 Olympic Games. Among those on board is Maggie Whelan, a television reporter, who is taking both legs of the trip. Just after boarding at Dulles International Airport, she receives documents conclusively and unequivocally stating that her boyfriend, Dr. Kevin Harrison, the Chairman of Harrison Industries, an aerospace contractor, is complicit of illegally selling arms to enemy regimes. Regardless, Maggie loves Kevin, who vows to do the right thing by making a public statement to his illegal activities. Maggie also intends on making an on-air report of the story once she arrives in Moscow. Kevin, however, has other thoughts. He plans on destroying the documents, the most convenient way being to bring down the Concorde with Maggie aboard, initially having the attack on the plane as a technical error, then pinning the attack on one of the many activist groups opposed to the Concorde itself or the upcoming Olympics. Concorde Captains Joe Petroni and Paul Metrand do whatever they have to to combat the attacks on the plane, the masterminds behind of which they nor Maggie are aware.",4.5,N/A
157,Biker Boyz,Reggie Rock Bythewood,"Michael Gougis (article), Craig Fernandez, Reggie Rock Bythewood",USA,"Laurence Fishburne, Derek Luke, Orlando Jones, Djimon Hounsou","A mythic motorcycle tale of father and son"", this is the story of Manuel Galloway, also known as ""the King of Cali"", the president of a motorcycle club whose members are all African-American men, mostly white-collar workers who exchange their suits and ties at night and on weekends for leather outfits and motorcycle helmets. The focus of this story takes place at an annual drag-racing event in Fresno, as Manuel tries to retain his championship title.",4.7,"$21,701,045"
158,Electric Dragon 80.000 V,Gakuryû Ishii,Gakuryû Ishii,Japan,"Yoshiki Arizono, Tadanobu Asano, Masakatsu Funaki, Masatoshi Nagase","A young boy gets jolted with electricity as he's climbing a tall cable pylon. As he gets older, he experiences intense fits of violence in which bolts of electricity burt from his fists. Elsewhere in Tokyo, there is an electronics wizard who also happens to be a vigilante with a taste for electric weapons. When the pair catch each other's attention, the result is a battle that will light up the city.",7.0,N/A
159,Bringing Down the House,Adam Shankman,Jason Filardi,USA,"Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright","Peter Sanderson is a divorced, straight-laced, uptight attorney who still loves his ex-wife and can't figure out what he did wrong to make her leave him. However, Peter's trying to move on, and he's smitten with a brainy, bombshell barrister he's been chatting with online. However, when she comes to his house for their first face-to-face, she isn't refined, isn't Ivy League, and isn't even a lawyer. Instead, it's Charlene, a prison escapee who's proclaiming her innocence and wants Peter to help her clear her name. But Peter wants nothing to do with her, prompting the loud and shocking Charlene to turn Peter's perfectly ordered life upside down, jeopardizing his effort to get back with his wife and won a billion dollar client.",5.6,N/A
160,"Dancer, Texas Pop. 81",Tim McCanlies,Tim McCanlies,USA,"Breckin Meyer, Peter Facinelli, Eddie Mills, Ethan Embry","Four friends from the small Texas town of Dancer are graduating from high school and are planning to move to L.A. after graduation, taking the population of Dancer down to 77 from 81. All other 77 residents feel threatened by their decision and decide to spoil their plans by all means possible.",6.6,N/A
161,Bruce Almighty,Tom Shadyac,"Steve Koren (story), Mark O'Keefe (story), Steve Koren (screenplay), Mark O'Keefe (screenplay), Steve Oedekerk (screenplay)",USA,"Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall","Bruce Nolan, a television reporter in Buffalo, N.Y., is discontented with almost everything in life despite his popularity and the love of his girlfriend Grace . At the end of the worst day of his life, Bruce angrily ridicules and rages against God and God responds. God appears in human form and, endowing Bruce with divine powers, challenges Bruce to take on the big job to see if he can do it any better.",6.8,"$242,589,580"
162,Sportloto-82,Leonid Gaidai,"Vladlen Bakhnov, Leonid Gaidai",Soviet Union,"Algis Arlauskas, Svetlana Amanova, Mikhail Pugovkin, Mikhail Kokshenov",Adventurous comedy about a bunch of people hunting the winning lottery ticket.,6.9,N/A
163,Bulletproof Monk,Paul Hunter,"Ethan Reiff, Cyrus Voris","USA, Canada","Yun-Fat Chow, Seann William Scott, Jaime King, Karel Roden","For 60 years a mysterious monk with no name has zigzagged the globe to protect an ancient scroll - a scroll that holds the key to unlimited power. Now the Monk must look for a new scrollkeeper. Kar is an unlikely candidate, a streetwise young man whose only interest is himself. But when he inadvertently saves the Bulletproof Monk from capture, the two become partners in a scheme to save the world from the scroll's most avid pursuer. Packed with spectacular special effects and martial arts action, the Monk, Kar, and a sexy Russian mob princess called Bad Girl must struggle to find, face, and fight the ultimate enemy.",5.5,"$23,020,488"
164,Deutschland 83,N/A,"Anna Winger, Jörg Winger",Germany,"Jonas Nay, Maria Schrader, Ulrich Noethen, Sylvester Groth","Set in a divided Germany in 1983, during a peak period for Cold War tensions between East and West. Martin Rauch, a wide-eyed 24-year-old East German soldier plucked from obscurity, goes undercover as a West German soldier for the East Germany Secret Service.",8.1,
165,Beyond the Sea,Kevin Spacey,"Kevin Spacey, Lewis Colick","UK, Germany, USA","Kevin Spacey, Kate Bosworth, John Goodman, Bob Hoskins","Consummate entertainer Bobby Darin (1936-1973) is making a movie about his life. He's volatile, driven by the love of performing, ambition, perfectionism, and belief that he's living on borrowed time. He begins in the Bronx: a fatherless lad learning music and dance from his mom. His career starts slowly, then ""Splish Splash"" puts him at the top of the charts and on ""Bandstand."" He wants to be an entertainer, not a pop star, so he aims for the Copacabana; then it's on to the movies, where he meets and marries Sandra Dee. After, it's balancing career, health, marriage and family life, balances he doesn't always keep. Throughout, conversations with his boyhood self give him perspective.",6.7,"$6,144,806"
166,Summer of 84,"François Simard, Anouk Whissell, Yoann-Karl Whissell","Matt Leslie, Stephen J. Smith","USA, Canada","Graham Verchere, Judah Lewis, Caleb Emery, Cory Gruter-Andrew","After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.",6.7,N/A
167,Barbershop 2: Back in Business,Kevin Rodney Sullivan,"Mark Brown (characters), Don D. Scott",USA,"Ice Cube, Cedric the Entertainer, Sean Patrick Thomas, Eve","The continuing adventures of the barbers at Calvin's Barbershop. Gina, a stylist at the beauty shop next door, is now trying to cut in on his buisness. Calvin is again struggling to keep his father's shop and traditions alive--this time against urban developers looking to replace mom & pop establishments with name-brand chains. The world changes, but some things never go out of style--from current events and politics to relationships and love, you can still say anything you want at the barbershop.",5.7,"$64,955,956"
168,85.12.30,Manuel Bartual,Manuel Bartual,Spain,"Rocío León, Xabi Tolosa, Lló Venturini",A long distance call changed their lives forever.,6.1,N/A
169,Be Cool,F. Gary Gray,"Elmore Leonard (novel), Peter Steinfeld (screenplay)",USA,"John Travolta, Uma Thurman, Vince Vaughn, Cedric the Entertainer","Streetwise mobster-turned-movie producer Chili Palmer is back, but this time Chili has abandoned the fickle movie industry and veered into the music business, tangling with Russian mobsters and gangsta rappers and taking a talented, feisty young singer named Linda Moon under his wing. From the recording studio to an Aerosmith concert to the MTV Music Awards, he manipulates events to watch them play out the Chili way, using his signature blend of wiseguy skills and negotiation tactics. It's a dangerous business, and everyone's looking for their next big hit.",5.6,"$55,590,667"
170,This Is England '86,N/A,N/A,UK,"Andrew Ellis, Andrew Shim, Chanel Cresswell, Danielle Watson","This Is England '86 is a 2010 British drama miniseries written by Shane Meadows and Jack Thorne. A spin-off from the 2006 film This Is England, and set three years later, it focuses on the mod revival scene rather than the skinhead subculture. Like the film, This Is England '86 stars Thomas Turgoose as Shaun, although Lol (Vicky McClure) and Woody (Joe Gilgun) play even more central roles. The story takes place during the 1986 FIFA World Cup. As Shaun completes his last school exam, he realises he will have to find his way in the world. His friends, who include Woody, Lol, Smell, Gadget and Meggy, are still around, looking for love, entertainment and employment.",8.3,
171,BloodRayne,Uwe Boll,Guinevere Turner,"Germany, USA","Kristanna Loken, Michael Madsen, Matthew Davis, Will Sanderson","In the Eighteenth Century, Rayne is the half-human half-vampire Dhampir and the lead attraction in a carnival's freak-show in Romania. When she escapes, she meets a fortuneteller that tells that her mother was raped by the king of the vampires Kagan and she decides to destroy her father. In her journey for revenge, she meets Vladimir and Sebastian, the leaders of the fortress of vampire hunters Brimstone, and she joins their society. She seeks for powerful talismans to defeat Kagan, while the skilled warriors Vladimir and Sebastian train her to face the forces of Kagan and her human side falls in love with Sebastian.",2.9,"$1,550,000"
172,21-87,Arthur Lipsett,N/A,Canada,N/A,"Snippets from discarded footage, and with footage shot on the streets of Montreal and New York City, combined to a collage with the underlying argument as to whether man is a complex machine or a creature with a soul.",7.0,N/A
