,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
79,Cinderella,Kenneth Branagh,"Chris Weitz (screenplay by), Charles Perrault (story)","USA, UK","Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter","A girl named Ella (Cinderella) has the purest heart living in a cruel world filled with evil stepsisters and an evil stepmother out to ruin Ella's life. Ella comes one with her pure heart when she meets the prince and dances her way to a better life with glass shoes, and a little help from her fairy godmother, of course.",6.9,"$183,327,144"
80,The Eternals,Pierre-Yves Vandeweerd,Pierre-Yves Vandeweerd,"Belgium, France, Azerbaijan",N/A,"We call those who suffer from the melancholy of eternity, eternals. Convinced that death cannot triumph over their lives, they believe that they are doomed to wander in anticipation of the ...",6.6,N/A
81,Ghostbusters: Afterlife,Jason Reitman,"Gil Kenan, Jason Reitman, Dan Aykroyd (based on the 1984 film ""Ghostbusters"" an Ivan Reitman film written by), Harold Ramis (based on the 1984 film ""Ghostbusters"" an Ivan Reitman film written by)","USA, Canada","Finn Wolfhard, Carrie Coon, Sigourney Weaver, Bill Murray","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",N/A,N/A
82,Tom and Jerry,N/A,"Joseph Barbera, William Hanna",N/A,N/A,A weekly Saturday (later Sunday) Morning repackaged compilation with new wraparounds featuring two Tom and Jerry cartoons sandwiching other MGM animated theatrical shorts.,8.7,
83,The Many Saints of Newark,Alan Taylor,"David Chase, Lawrence Konner",USA,"Vera Farmiga, Jon Bernthal, Corey Stoll, Billy Magnussen","A look at the formative years of New Jersey gangster, Tony Soprano.",N/A,N/A
84,Raya and the Last Dragon,"Paul Briggs, Dean Wellins",Adele Lim,USA,"Awkwafina, Cassie Steele","In a realm known as Lumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",N/A,N/A
85,Morbius,Daniel Espinosa,"Matt Sazama (screenplay by), Burk Sharpless (screenplay by), Art Marcum (screenplay by), Matt Holloway (screenplay by), Matt Sazama (story by), Burk Sharpless (story by), Roy Thomas (based on the Marvel comics by), Gil Kane (based on the Marvel comics by)",USA,"Adria Arjona, Jared Leto, J.K. Simmons, Michael Keaton","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",N/A,N/A
86,Tomb Raider 2,Ben Wheatley,"Toby Gard (based on the character created by), Amy Jump","USA, UK, Japan","Alicia Vikander, Kristin Scott Thomas",Sequel to the 2018 reboot.,N/A,N/A
87,The Passion of the Christ: Resurrection,Mel Gibson,"Mel Gibson, Randall Wallace",USA,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito",A sequel to The Passion of the Christ (2004) focuses on the events that occurred 3 days between the crucifixion of Jesus Christ and His resurrection.,N/A,N/A
88,F9,Justin Lin,"Daniel Casey (screenplay), Gary Scott Thompson (characters)",USA,"Charlize Theron, Vin Diesel, Jordana Brewster, Michelle Rodriguez","Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",N/A,N/A
89,BIOS,Elisa Silvestri,"Giovanni Silvestrini, Philip K. Dick (inspired by)",Italy,"Harry Pearson, Cécile Lechantoux","And if one day you discovered that the people you loved have not only disappeared, but have never existed?",N/A,N/A
90,Last Night in Soho,Edgar Wright,"Krysty Wilson-Cairns (screenplay), Edgar Wright (screenplay)",UK,"Anya Taylor-Joy, Thomasin McKenzie, Matt Smith, Diana Rigg",Plot unknown. Reported to be a psychological horror film set in London with a female lead.,N/A,N/A
91,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,"Dave Callaham, Steve Englehart (characters), Jim Starlin (characters)","USA, Australia","Awkwafina, Simu Liu, Tony Chiu-Wai Leung, Fala Chen","The movie, based on Marvel Comics, will focus on Shang-Chi; 'The Master of Kung-Fu'.",N/A,N/A
92,Godzilla vs. Kong,Adam Wingard,"Eric Pearson (screenplay by), Max Borenstein (screenplay by), Terry Rossio (story by), Michael Dougherty (story by), Zach Shields (story by)",USA,"Eiza González, Millie Bobby Brown, Alexander Skarsgård, Rebecca Hall",The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome Godzilla and the mighty Kong - with humanity caught in the balance.,N/A,N/A
93,Spiral,N/A,"Alexandra Clert, Guy-Patrick Sainderichin",France,"Caroline Proust, Audrey Fleurot, Thierry Godard, Philippe Duclos",Follows criminal investigations in Paris from all the different points of view of those involved.,8.5,
94,Cruella,Craig Gillespie,"Aline Brosh McKenna, Jez Butterworth, Dana Fox (Writer), Kelly Marcel (screenplay by), Tony McNamara (screenplay), Steve Zissis (screenplay)",USA,"Emma Stone, Emma Thompson, Mark Strong, Paul Walter Hauser",A live-action prequel feature film following a young Cruella de Vil.,N/A,N/A
95,Infinite,Connor O'Hara,Connor O'Hara,UK,"George MacKay, Elliot James Langridge, Alexander Lincoln, Rory J. Saper",In his last months alive a young man calls upon his four closest friends to make his existence infinite through the assembly of five key elements from his life.,9.1,N/A
96,Samaritan,Kimball Carr,Kimball Carr,USA,"Johnny Alonso, Kelley Davis, D.D. Delaney, Humberto Gettys","A stranger reveals his supernatural abilities while thwarting a robbery. When two worlds collide, the detective investigating this mystery is left with more questions than answers.",2.4,N/A
97,Jurassic World: Dominion,Colin Trevorrow,"Colin Trevorrow (screenplay by), Emily Carmichael (screenplay by), Derek Connolly (story by), Colin Trevorrow (story by), Michael Crichton (based on characters created by)",USA,"Bryce Dallas Howard, Chris Pratt, Sam Neill, Laura Dern",Plot kept under wraps.,N/A,N/A
98,In the Heights,Jon M. Chu,"Quiara Alegría Hudes (screenplay by), Quiara Alegría Hudes (based on the musical stage play,  book by), Lin-Manuel Miranda (based on the musical stage play,  concept by)",USA,"Stephanie Beatriz, Lin-Manuel Miranda, Dascha Polanco, Jimmy Smits","In the Heights centers on a variety of characters living in the neighborhood of Washington Heights, on the northern tip of Manhattan. At the center of the show is Usnavi, a bodega owner who looks after the aging Cuban lady next door, pines for the gorgeous girl working in the neighboring beauty salon and dreams of winning the lottery and escaping to the shores of his native Dominican Republic. Meanwhile, Nina, a childhood friend of Usnavi's, has returned to the neighborhood from her first year at college with surprising news for her parents, who have spent their life savings on building a better life for their daughter. Ultimately, Usnavi and the residents of the close-knit neighborhood get a dose of what it means to be home.",N/A,N/A
99,Venom: Let There Be Carnage,Andy Serkis,Kelly Marcel,USA,"Tom Hardy, Michelle Williams, Woody Harrelson, Naomie Harris",Plot unknown. Sequel to the 2018 film 'Venom'.,N/A,N/A
100,,,,,,,,
101,Black Water: Abyss,Andrew Traucki,"John Ridley, Sarah Smith","Australia, USA","Jessica McNamee, Luke Mitchell, Amali Golden, Anthony J. Sharpe",Friends exploring a remote cave system in Northern Australia find themselves threatened by a pack of crocodiles.,N/A,N/A
102,Dreambuilders,"Kim Hagen Jensen, Tonni Zinck","Søren Grinderslev Hansen, Kim Hagen Jensen",Denmark,"Martin Buch, Rasmus Botoft, Mia Lerdam, Ditte Hansen","It centers on Minna, a young girl who misuses her newfound ability to create and control other people's dreams to teach her bothersome stepsister a lesson.",7.2,N/A
103,,,,,,,,
104,SGT. Will Gardner,Max Martini,Max Martini,USA,"Max Martini, Omari Hardwick, Lily Rabe, Robert Patrick",A troubled Iraq War veteran struggling to reintegrate into society sets out on a cross-country journey with the hope of reuniting with his young son.,5.9,N/A
105,Masters of Love,Matt Roberts,Matt Roberts,UK,"Steve Toussaint, Beattie Edmondson, Lizzy Watts, Eleanor Fanyinka",N/A,N/A,N/A
106,Ella Bella Bingo,"Atle Solberg Blakseth, Frank Mosvold","Jeffrey Hylton (screenplay punch-up), Frank Mosvold (based in the universe created by), Frank Mosvold (screenplay by), Tom Petter Hansen (based in the universe created by), Johnny Smith (screenplay by), Rob Sprackling (screenplay by), Trond Morten Venaasen (based in the universe created by), Joe Vitale (screenplay consultant), Mike de Seve (screenplay consultant)",Norway,"Gard B. Eidsvold, Jack Fisher, Jack Fisher, Oskar Fjeldstad-Bergheim","Ella Bella Bingo (Elleville Elfrid) and Henry are best friends, but one day a new boy moves into the neighborhood and everything changes.",4.8,N/A
107,R.I.A.,Richard Colton,Richard Colton,UK,"Luke Goss, Dean Cain, Amar Adatia, Jess Impiazzi","A young woman finds herself reliving the same day over and over. Each day Ria wakes up to her normal routine, but finds a different man, her husband Jack, by her side. She lives her perfect...",N/A,N/A
108,Unhinged,Don Gronquist,"Don Gronquist, Reagan Ramsey",USA,"Laurel Munson, Janet Penner, Sara Ansley, Virginia Settle","College students, Terry, Nancy and Gloria are on their way to a rock concert, driving through a torrential rainstorm... only to crash their car, badly injuring one of them. Seeking shelter and aid they come across a house occupied by a man-hating mother and her daughter... our trio soon wish they hadn't.",5.0,N/A
109,The Vigil,Keith Thomas,Keith Thomas,USA,"Dave Davis, Menashe Lustig, Malky Goldman, Lynn Cohen","A man providing overnight watch to a deceased member of his former Orthodox Jewish community finds himself opposite a malevolent entity, in writer-director Keith Thomas' electrifying feature debut.",5.8,N/A
110,American Fighter,Shaun Paul Piccinino,"Carl Morris, Shaun Paul Piccinino",USA,"Tommy Flanagan, Sean Patrick Flanery, Christina Moore, Allison Paige",A desperate teenager is forced into the dangerous world of underground fighting to win enough money to save his ailing mother. He finds out what he's made of in the face of these violent hungry competitors.,N/A,N/A
111,7 Days to Vegas,Eric Balfour,"Steve Alper, Vincent Van Patten",USA,"Vincent Van Patten, Ross McCall, Paul Walter Hauser, Eileen Davidson",Inspired by a true story about Hollywood big shots who will bet on anything.,5.2,N/A
112,Mulan,"Tony Bancroft, Barry Cook","Robert D. San Souci (based on a story by), Rita Hsiao (screenplay by), Chris Sanders (screenplay by), Philip LaZebnik (screenplay by), Raymond Singer (screenplay by), Eugenia Bostwick-Singer (screenplay by), Dean DeBlois (story co-head), John Sanford (story), Chris Williams (story), Tim Hodge (story), Julius Aguimatang (story), Burny Mattinson (story), Lorna Cook (story), Barry Johnson (story), Thom Enriquez (story), Ed Gombert (story), Joe Grant (story), Floyd Norman (story), Linda Woolverton (additional story material), Jodi Ann Johnson (additional story material), Alan Ormsby (additional story material), David Reynolds (additional story material), Don Dougherty (additional story material), Jorgen Klubien (additional story material), Denis Rich (additional story material), Joe Ekers (additional story material), Theodore Newton (additional story material), Larry Scholl (additional story material), Daan Jippes (additional story material), Frank Nissen (additional story material), Jeff Snow (additional story material)",USA,"Miguel Ferrer, Harvey Fierstein, Freda Foh Shen, June Foray","This retelling of the old Chinese folktale is about the story of a young Chinese maiden who learns that her weakened and lame father is to be called up into the army in order to fight the invading Huns. Knowing that he would never survive the rigours of war in his state, she decides to disguise herself and join in his place. Unknown to her, her ancestors are aware of this and to prevent it, they order a tiny disgraced dragon, Mushu to join her in order to force her to abandon her plan. He agrees, but when he meets Mulan, he learns that she cannot be dissuaded and so decides to help her in the perilous times ahead.",7.6,N/A
113,Summerland,N/A,"Stephen Tolkin, Lori Loughlin",USA,"Lori Loughlin, Merrin Dungey, Ryan Kwanten, Jesse McCartney","Bradin, Nikki and Derrick are 3 kids from an average normal Kansas household. Their whole life is thrown upside-down when their parents are tragically killed in a car accident. Ava Gregory (their aunt) gets custody of her niece and nephews and they move into her Californian home (in Summerland). Ava, a struggling clothes designer, lives with her best friend and business partner, Susannah Rexford, her friend, an ex- pro.surfer, Jay Robertson and her ex-boyfriend, real estate agent, Johnny Durrant. All four of them are highly unequipped to handle children and are not use to including them in their everyday lives. The series follows each of their struggles through life. Ava is trying to get her fashion line to take off. Whilst also fighting feelings for Johnny, her childhood sweetheart. And now trying to bring up her sisters 3 children up as well as possible. Johnny is forever trying to fight his feelings for Ava, knowing he ruined that relationship long ago. Johnny is the father figure to the children. Jay owns a surf shop, and is trying to win back ex-girlfriend and teenage love, Erica Spaulding. He acts as the cool big brother type to the 3 children and he and Bradin develop a close relationship. Bradin is growing up and finding himself led astray very easily in the teenage world. He drinks, takes drugs and gets arrested, after getting involved with a 'bad-apple' Sara, who he then helps into getting her life back on track. Later he falls in love with Callie- only to get hurt again. He discovers a passion for surfing and becomes very good, whilst falling for his coach, Erica Spaulding. Nikki is at an awkward age of 13 and trying to fit in to the Californian teenage world. She is very bright and enjoys reading books and writing poetry- not the popular shopping and clothes. Early on Nikki meets a boy, Cameron Bale, and they develop a strong relationship, and ultimately, fall in love. Derrick takes to Johnny immediately and the two develop a good friendship. He,in turn, finds his ""one soul mate"" in a little girl called Martha. The show is basically a fun show of sun, sea and sand mixed with great storyline, emotional inputs and will leave you wanting more. Great cast, excellent chemistry, and beautiful scenery.",6.9,
114,Tenet,Christopher Nolan,Christopher Nolan,"USA, UK","Robert Pattinson, Elizabeth Debicki, Aaron Taylor-Johnson, Kenneth Branagh","Armed with only one word -- Tenet -- and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",N/A,N/A
115,Darkness Falls,Jonathan Liebesman,"Joe Harris (story), John Fasano (screenplay), James Vanderbilt (screenplay), Joe Harris (screenplay)","USA, Australia","Chaney Kley, Emma Caulfield Ford, Lee Cormie, Grant Piro","In the Nineteenth Century, in Darkness Falls, Matilda Dixon is a good woman, who exchanges with children their baby teeth per coins. One day, her face is burnt in a fire in her house, she becomes sensitive to light and uses a china mask to protect her face against light. When two children are not found in the town, Matilda is blamed by the population and burnt in a fire, as if she were a witch. She claims to be not guilty and curses the whole population of the town and their descendants, stating that when each child loses the last tooth, she would come to get it, and if the child looks at her, she would kill him or her. After her death, the two children are found, and the shamed citizens decide to bury this sad and unfair event and never mention it again. Twelve years ago, the boy Kyle accidentally saw the Tooth Fairy, and she killed his mother. All the persons in Darkness Falls but his girlfriend Caitlin accused the boy of murdering his mother and sent him to an institution, considered deranged. In the present days, Caitlin calls Kyle to help her young brother Michael, who has seen the Fairy Tooth and is afraid of the dark.",5.0,"$32,032,215"
116,Stage Mother,Charles Brabin,"John Meehan, Bradford Ropes (novel), Bradford Ropes (screenplay)",USA,"Alice Brady, Maureen O'Sullivan, Franchot Tone, Phillips Holmes","A vaudeville star has to leave her daughter with her dead husband's stuffy Boston parents while she makes a living. But when the daughter shows some talent, the mother become a stage mother and pushes her daughter into becoming a Broadway star. The mother is a monster with a heart of gold, and after breaking up the daughter's love affair, finally sees the error of her ways.",6.2,N/A
117,Capel Green,Dion M Johnson,Dion M Johnson,N/A,"Max Easton, Adam Hillier, Emma Von Schreiber, Remy Bataille","Capel Green is a powerful, independent feature length documentary film about the myriad of strange occurrences which took place in and around Rendlesham Forest, close to the twin US Air ...",N/A,N/A
118,The Empty Man,Jeff Edmond,N/A,USA,N/A,"A character driven story about two brothers. Michael Strum, a banker and family man, is made executor of his Mom's will. He is in charge of giving his younger brother David, an attempted suicide survivor and alcoholic, one thousand dollars a month from the estate. As David works out his demons to a clueless therapist, Michael keeps his demons below the surface. When Michael loses his job his calm demeanor slowly gives way to his true self.",N/A,N/A
119,Spinster,Andrea Dorfman,Jennifer Deyell,Canada,"Chelsea Peretti, Susan Kent, Amy Groening, Charlie Boyle","After her partner breaks up with her on her 39th birthday, Gaby tackles her fears of loneliness as well as preconceptions of what it means for a woman to be single.",N/A,N/A
120,Bill,Richard Bracewell,"Laurence Rickard, Ben Willbond",UK,"Mathew Baynton, Simon Farnaby, Martha Howe-Douglas, Jim Howick","A down on his luck William ""Bill"" Shakespeare decides to pursue his latest dream: to be an aspiring writer. His adventure soon becomes dangerous when he is caught between a act of murder.",6.5,"$381,541"
121,The Secret Garden,Agnieszka Holland,"Frances Hodgson Burnett (book), Caroline Thompson (screenplay)","UK, USA","Kate Maberly, Heydon Prowse, Andrew Knott, Maggie Smith","A young British girl born and raised in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's estate. Her uncle is very distant due to the loss of his wife ten years before. Neglected once again, she begins exploring the estate and discovers a garden that has been locked and neglected. Aided by one of the servants' brothers, she begins restoring the garden, and eventually discovers some other secrets of the manor.",7.3,N/A
122,Greenland,Oren Gerner,Oren Gerner,Israel,"Maya Gerner, Meir Gerner, Oren Gerner","Oren (27) comes to his parents' house to pack his belongings before moving with his girlfriend to their new apartment. During this day, out of seemingly simple interactions, the family dynamics reveals itself, and exposes the protagonist's place- between child and adult, between intimacy and Alienation. The house constitutes the space in which past, present and future mix into a chronicle of separation.",6.2,N/A
123,The New Mutants,Josh Boone,"Josh Boone, Knate Lee, Chris Claremont (based on the Marvel comics by), Bob McLeod (based on the Marvel comics by), Len Wein (character created by: Magik), Dave Cockrum (character created by: Magik)",USA,"Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Blu Hunt","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",N/A,N/A
124,The Roads Not Taken,Sally Potter,Sally Potter,"UK, Sweden, USA","Javier Bardem, Elle Fanning, Branka Katic, Salma Hayek","Sally Potter's film follows a day in the life of Leo (Javier Bardem) and his daughter, Molly (Elle Fanning), as he floats through alternate lives he could have lived, leading Molly to wrestle with her own path as she considers her future.",4.7,N/A
125,Solitary,N/A,N/A,USA,"Mark Crumpton, Steven Gee, Nikki Knight, Tyler Tongate",Contestants compete for prizes by enduring tough conditions such as solitary confinement and sleep deprivation.,8.5,
126,A Quiet Place Part II,John Krasinski,"Scott Beck (characters), John Krasinski, Bryan Woods (characters)",USA,"Emily Blunt, Millicent Simmonds, Cillian Murphy, Noah Jupe","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",N/A,N/A
127,The Sound of Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A
128,Dream Horse,Euros Lyn,Neil McKay,UK,"Damian Lewis, Toni Collette, Peter Davison, Nicholas Farrell","Dream Alliance, an unlikely race horse bred by small town Welsh bartender, Jan Vokes. With no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream in the hopes he can compete with the racing elites.",5.8,N/A
129,The Arsonist,Myles Sorensen,Myles Sorensen,USA,"John Emmet Tracy, Alla Korot, R.A. Buck, Todd Giebenhain","Following the death of her son by arson, a woman believing to be framed, goes on the run to prove her innocence.",7.9,N/A
130,Two Heads Creek,Jesse O'Brien,Jordan Waller,"UK, Australia","Kerry Armstrong, Kathryn Wilder, Gary Sweet, Jordan Waller","A timid butcher and his drama queen twin sister quit the hostile confines of post- Brexit Britain and adventure to Australia in search of their birth mother, but the seemingly tolerant townsfolk are hiding a dark, meaty secret.",8.1,N/A
131,The Conjuring: The Devil Made Me Do It,Michael Chaves,"David Leslie Johnson-McGoldrick (screenplay by), David Leslie Johnson-McGoldrick (story), James Wan (story)",USA,"Vera Farmiga, Patrick Wilson, Julian Hilliard, Mitchell Hoog",Plot unknown. Third installment of the Conjuring franchise.,N/A,N/A
132,Malibu Road,Montgomery Markland,"Montgomery Markland, Emilia Bogdanova, Ryan Placchetti",USA,"Jessica Jade Andres, Benita Robledo, Emilia Bogdanova, Ryan Caldwell","Dr. Raymond Forrester, professor of psychology at UCLA, takes student and Hollywood starlet Dorothy Crowder to a Malibu hotel of questionable reputation. The two ingest LSD, sent in a mysterious package to Forrester, and become some of the first Americans to go on a psychedelic experience. The experience takes a turn for the deadly during New Year's Eve 1960 and now the duo must rediscover reality or be trapped in an endless cycle of sex, drugs and murder in 'paradise.'",6.8,N/A
133,Our Ladies,Michael Caton-Jones,"Michael Caton-Jones, Alan Warner (novel)",UK,"Ross Anderson, Tony Atherton, Eve Austin, Kate Dickie","In 1990s Scotland, a group of Catholic school girls get an opportunity to go into Edinburgh for a choir competition, but they're more interested in drinking, partying and hooking up than winning the competition.",7.9,N/A
134,Shakespeare: The King's Man,N/A,N/A,UK,"James Shapiro, Greg Hicks, Kelly Hunter, Dora Thornton",Shakespeare's life and work are sometimes romanticized as a product of the golden age of Elizabeth I. But the bard produced some of his finest plays after the Virgin Queen's death. In this ...,7.0,
135,White Riot,Rubika Shah,"Ed Gibbs, Rubika Shah",UK,N/A,"Expanding her (White Riot: London (2017)) short documentary film, Rubika Shah's energizing film charts a vital London protest movement. Rock Against Racism (RAR) was formed in 1976, ...",N/A,N/A
136,Toofan,Ketan Desai,"Salim Khan (dialogue), Salim Khan (screenplay), Salim Khan (story), K.K. Shukla (screenplay)",India,"Amitabh Bachchan, Meenakshi Sheshadri, Amrita Singh, Farooq Shaikh","Honest police officer Hanuman Prasad Singh lives like friend and family with a magician by the name of Ramesh Kumar. Hanuman's wife passes away after giving birth to male twin babies; upon finding out that Ramesh's wife, Devyani loses her child and is render barren Hanuman decides to give one of his sons to Ramesh. Unfortunately Ramesh passes away in the midst of performing a stunt while entertaining his audiences leaving the child to be brought up by Devyani who grows up to be Shyam; a magician like his foster father. While on the other hand inspector Hanuman is falsely implicated by the corrupt Assistant Commissioner of Police Sharma and Daku Shaitan Singh for stealing huge number of gold bars. When Hanuman attempt to clear his name by bringing the real culprits to justice he is killed by Shaitan Singh; when his son heard of his death he goes to a temple of Bhagwan Shri Hanuman and pleads to him only to receive a boon with immense strength to fight for people who are subjected to injustice at the hands of tyrants so much that years later he is regarded as Toofan by his village people. Toofan's motive in life involve to clear his father's name by retrieving the stolen gold and at the same time bring the real culprits to justice while Shyam's motive is to perform the stunt that killed his foster father.",4.8,N/A
137,Eternal Beauty,"Dominic Wieneke, Jesse Yost","Ari Show, Dominic Wieneke, Jesse Yost",USA,"Kevin Kunkel, Nathan Maas, Katie Walgrave, Ari Show",A big city girl stuck in a small town discovers the meaning of true beauty from a mysterious stranger.,N/A,N/A
138,The Lost,Chris Sivertson,"Chris Sivertson (written for the screen by), Jack Ketchum (novel)",USA,"Marc Senter, Shay Astar, Alex Frost, Megan Henning","Hanging out at some campgrounds one nice summer day, 19-year-old Ray Pye decides to murder two young women. His friends, Jen and Tim, witness the murder and help him cover it up. Four years later, Ray has never been arrested for the crime. Detective Charlie Schilling and his ex-partner, Ed Anderson, know that Ray did it. They just could never prove it. Charlie figures it's about time they did prove it. He's ready to push Ray harder than ever. Meanwhile, Ray has met his match in a new girl in town, Katherine Wallace. Kath is a bad girl; she and Ray are a potentially explosive combination. Throw in the fact that Ed is having a summer fling with Sally Richmond - a girl young enough to be his daughter. And Sally's just gotten a job at the motel that Ray manages. Ray has his eye on her. Charlie and Ed never found the gun that Ray used to murder the women at the campground. That rifle, as well as a handgun, are hidden behind the mirror in Ray's bathroom. Ray can only be pushed so far. The time will come when he takes the mirror off the wall and shows everyone who is in charge.",5.9,N/A
139,Candyman,Bernard Rose,"Clive Barker (based on ""The Forbidden"" by), Bernard Rose","USA, UK","Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons","Helen Lyle is a student who decides to write a thesis about local legends and myths. She visits a part of the town, where she learns about the legend of the Candyman, a one-armed man who appears when you say his name five times, in front of a mirror. Of course, Helen doesn't believe all this stuff, but the people of the area are really afraid. When she ignores their warnings and begins her investigation in the places that he is rumored to appear, a series of horrible murders begins. Could the legend be true?",6.6,N/A
140,The Trial of the Chicago 7,Aaron Sorkin,Aaron Sorkin (screenplay),"USA, UK, India","Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",N/A,N/A
141,,,,,,,,
142,,,,,,,,
143,Wonder Woman 1984,Patty Jenkins,"Geoff Johns (story), Patty Jenkins (story), Dave Callaham (screenplay), Geoff Johns (screenplay), Patty Jenkins (screenplay), William Moulton Marston (Wonder Woman created by)","USA, South Korea, Spain","Pedro Pascal, Connie Nielsen, Gal Gadot, Robin Wright",Plot unknown. A sequel to the 2017 superhero film 'Wonder Woman.',N/A,N/A
144,Monster Hunter,Paul W.S. Anderson,"Paul W.S. Anderson, Kaname Fujioka (video game series)","China, Germany, Japan, USA","Milla Jovovich, Tony Jaa, T.I., Meagan Good","When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",N/A,N/A
145,Witches of Amityville Academy,Rebecca Matthews,Tom Jolliffe,N/A,"Kira Reed Lorsch, Donna Spangler, Sarah T. Cohen, Georgina Jane",N/A,N/A,N/A
146,Imperative,Krzysztof Zanussi,Krzysztof Zanussi,West Germany,"Robert Powell, Brigitte Fossey, Sigfrit Steiner, Matthias Habich",N/A,7.4,N/A
147,Death on the Nile,John Guillermin,Anthony Shaffer (screenplay),UK,"Peter Ustinov, Jane Birkin, Lois Chiles, Bette Davis","Based on the Agatha Christie novel, our favourite Belgian detective, Hercule Poirot, is on a cruise up the Nile. He is surrounded by an interesting assortment of characters, including a wealthy heiress and her husband, on their honeymoon. It appears that everyone hates the heiress...",7.3,N/A
148,Connected,Benny Chan,"Alan Yuen (screenplay adaptation), Benny Chan (screenplay adaptation), Xu Bing (screenplay adaptation), Larry Cohen (original story), Chris Morgan","China, Hong Kong","Louis Koo, Barbie Hsu, Nick Cheung, Ye Liu",A man receives a distressing phone call from a woman who has been kidnapped.,6.6,N/A
149,Halloween Kills,David Gordon Green,"John Carpenter (based on characters created by), David Gordon Green, Debra Hill (based on characters created by), Danny McBride, Scott Teems",USA,"Jamie Lee Curtis, Anthony Michael Hall, Judy Greer, Kyle Richards",The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,N/A,N/A
150,The French Dispatch,Wes Anderson,"Wes Anderson (screenplay by), Wes Anderson (story), Jason Schwartzman (story), Roman Coppola (story), Hugo Guinness (story)","Germany, USA","Elisabeth Moss, Timothée Chalamet, Saoirse Ronan, Tilda Swinton","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",N/A,N/A
151,A Dangerous Man: Lawrence After Arabia,Christopher Menaul,Tim Rose Price,UK,"Ralph Fiennes, Alexander Siddig, Denis Quilley, Nicholas Jones",Lawrence and Feisal go to argue for Arab independence at the 1919 Paris Peace Conference.,7.0,N/A
152,Snake Eyes: G.I. Joe Origins,Robert Schwentke,Evan Spiliotopoulos,USA,"Henry Golding, Andrew Koji, Úrsula Corberó, Steven Allerick",A G.I. Joe spin-off centered around the character of Snake Eyes.,N/A,N/A
153,Max Winslow and the House of Secrets,Sean Olson,Jeff Wild,USA,"Chad Michael Murray, Marina Sirtis, Tanner Buchanan, Jade Chynoweth",Five teens compete to win a mansion owned by an eccentric billionaire. The night takes a dark turn when they become trapped and are forced to face off against a super computer who has gone rogue.,8.0,N/A
154,No Mercy,Richard Pearce,James Carabatsos,USA,"Richard Gere, Kim Basinger, Jeroen Krabbé, George Dzundza","Maverick Chicago cop Eddie Jillette poses as a hit man to meet with someone in from New Orleans looking to have a job done. The result is that both the guy and Jillette's partner wind up very dead, while a stunning blonde in on the setup disappears. He heads south to settle the score and soon finds himself being hunted, with the girl in tow and the local police anything but happy. New Orleans may never be the same again.",5.7,N/A
155,Black Widow,Bob Rafelson,Ronald Bass,USA,"Debra Winger, Theresa Russell, Sami Frey, Dennis Hopper","Catherine is a black widow. ""She mates and then she kills"". Black Widow is the story of a lady (Catherine) who marries lonely millionaires, waits until they've changed their will to leave all to their beloved wives and then murders them to inherit the fortune. With each man Catherine marries, she changes her appearance to suit the mans personality. Only there's one problem. Alexandra is a smart cookie and has found a link between these unexplained mysterious deaths and the partners wives. But now her only problem is proving that a killer is on the loose and saving herself from the deadly Black Widow.",6.3,N/A
156,The Gardener,James D.R. Hickox,Joseph Gunn,USA,"Malcolm McDowell, Angie Everhart, Richard Grieco, Olivia Hussey","After her partner mysteriously disappears, Detective Kelly Jones is lead to a nursery that seems to hold many secrets. Later those around Kelly become confused by the notion of wrong doings within the green house walls and begin to doubt her instincts.",3.4,N/A
